,numero_national_de_structure,libelle,sigle,annee_de_creation,type_de_structure,code_de_type_de_structure,code_de_niveau_de_structure,site_web,adresse,code_postal,commune,nom_du_responsable,prenom_du_responsable,titre_du_responsable,label_numero,tutelles,sigles_des_tutelles,code_de_nature_de_tutelle,nature_de_tutelle,uai_des_tutelles,siret_des_tutelles,code_de_type_de_tutelle,type_de_tutelle,numero_de_structure_enfant,numero_de_structure_parent,numero_de_structure_historique,type_de_succession,code_de_type_de_succession,annee_d_effet_historique,code_domaine_scientifique,domaine_scientifique,code_panel_erc,panel_erc,fiche_rnsr,grid
3291,200923869K,Equipe scientifique « Plasmas Froids » - Laboratoire de physique des plasmas,LPP,2009,Equipe interne,1,1,http://www.lpp.polytechnique.fr,LPP - Ecole Polytechnique – Route de Saclay,91128,Palaiseau,DRAG,Cyril,Responsable,;;;;;;,Observatoire Paris;Ecole Polytechnique;Centre national de la recherche scientifique;Sorbonne Université;Institut polytechnique de Paris;Université Paris-Saclay;Université Paris sciences et lettres,OBSV.PARIS;EC. POLYTECHNIQUE;CNRS;SORBONNE UNIV.;IP PARIS;U PARIS-SACLAY;PSL,AUT_ETAB;AUT_ETAB;EPST;UNIV;AUT_ETAB;UNIV;UNIV,Autres établissements ESR;Autres établissements ESR;Organismes de type EPST;Université;Autres établissements ESR;Université;Université,0753496T;0911568K;0753639Y;0755890V;0912403T;0912408Y;0756036D,19753496900013;19911568400011;18008901303720;13002338500011;13002562000019;13002602400013;13002614900018,TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement participant,,201019049S,,,,,8,Sciences pour l'ingénieur,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200923869K&PUBLIC=OK,grid.463932.9
3292,201822737R,Fédération Bourgogne Franche-Comté Mathématiques,BFC-Math,2018,Structures Fédératives de Recherche,3,3,,"UNIVERSITE DE FRANCHE-COMTE, UFR sciences et techniques, 16 route de Gray",25030,BESANCON CEDEX,LE MERDY;PARIS,Christian;Luis,DIR;DIR-ADJ,;;FR 2011;,Université Bourgogne Dijon;Université Franche-Comté Besançon;Centre national de la recherche scientifique;Université Bourgogne Franche-Comté,DIJON;BESANCON;CNRS;UBFC,UNIV;UNIV;EPST;SITE,Université;Université;Organismes de type EPST;Site,0211237F;0251215K;0753639Y;0251985X,19211237300019;19251215000363;18008901303720;13002091000019,TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,,,,,,,,,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201822737R&PUBLIC=OK,
3296,201823888S,"ChImie, Matériaux et procédés pour un NucléaireDurable",CIMEND,2018,Equipe interne,1,1,http://uccs.univ-lille1.fr,Bâtiment C7 - Cité Scientifique,59650,Villeneuve d'Ascq,RIVENET,Murielle,,;;;,Centrale Lille Institut;Université Artois;Centre national de la recherche scientifique;Université de Lille,CLI;ARTOIS;CNRS;LILLE,AUT_ETAB;UNIV;EPST;UNIV,Autres établissements ESR;Université;Organismes de type EPST;Université,0597139P;0623957P;0753639Y;0597065J,19590349700012;19624401600016;18008901303720;13002358300011,TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,,200612828X,,,,,4,Chimie,PE5,"Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201823888S&PUBLIC=OK,
3297,200711896E,Institut des Sciences Cognitives Marc Jeannerod,ISC-MJ,2006,Unité mixte,22,2,http://www.cnc.isc.cnrs.fr,67 Boulevard Pinel,69675,BRON CEDEX,FERRARI;BEN HAMED,Pier Francesco;Suliann,Directeur;Directrice adjointe,UMR 5229;UMR 5229;UMR 5229,Université Claude Bernard Lyon 1;Centre national de la recherche scientifique;Institut national de la sante et de la recherche medicale,LYON 1;CNRS;INSERM,UNIV;EPST;EPST,Université;Organismes de type EPST;Organismes de type EPST,0691774D;0753639Y;0755364Y,19691774400019;18008901303720;18003604800015,TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement participant,,201119838V,199911711N,éclatement,E,2007,5,"Biologie, médecine et santé",SH4;LS5,"The Human Mind and Its Complexity : Cognitive science, psychology, linguistics, theoretical philosophy;Neuroscience and Disorders of the Nervous System : Nervous system development, homeostasis and ageing, nervous system function and dysfunction, systems neuroscience and modelling, biological basis of cognitive processes and of behaviour, neurological and mental disorders",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200711896E&PUBLIC=OK,grid.465537.6
3299,201822832U,Tara Oceans Systems Ecology & Evolution,TO-SEE,2018,Structures Fédératives de Recherche,3,3,,"INSTITUT OCEANOGRAPHIQUE, Maison des Océans, 195 rue Saint-Jacques",75005,PARIS,DE VARGAS;WINCKER;BOWLER,Colomban;Patrick;Chris,DIR;DIR-ADJ;DIR-ADJ,;;;FR 2022;;;;;;;;,Ecole Centrale de Nantes;Ecole Normale Supérieure Paris;Université de Toulon;Centre national de la recherche scientifique;Institut national de la sante et de la recherche medicale;Commissariat à l'énergie atomique et aux énergies alternatives;Institut de recherche pour le developpement;Ecole nationale supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire;Sorbonne Université;Université Paris sciences et lettres;Nantes Université;Université Aix-Marseille,EC. CENTRALE NANTES;ENS PARIS;TOULON;CNRS;INSERM;CEA;IRD;IMT Atlantique;SORBONNE UNIV.;PSL;Nantes Université;AIX-MARSEILLE,AUT_ETAB;AUT_ETAB;UNIV;EPST;EPST;EPIC;EPST;AUT_ETAB;UNIV;UNIV;UNIV;UNIV,Autres établissements ESR;Autres établissements ESR;Université;Organismes de type EPST;Organismes de type EPST;Organismes de type EPIC;Organismes de type EPST;Autres établissements ESR;Université;Université;Université;Université,0440100V;0753455Y;0830766G;0753639Y;0755364Y;0912281K;0133973Y;0292355C;0755890V;0756036D;0442953W;0134009M,19440100600011;19753459700012;19830766200017;18008901303720;18003604800015;77568501900587;18000602500159;18009202500121;13002338500011;13002614900018;13002974700016;13001533200013,TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement participant,,,200920016X,renouvellement,R,2018,10,Sciences agronomiques et écologiques,LS8,"Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201822832U&PUBLIC=OK,
3300,201119530K,FÉDÉRATION DE RECHERCHES MILIEUX ET RESSOURCES AQUATIQUES,MIRA,2011,Structures Fédératives de Recherche,3,3,http://milieux-aquatiques.univ-pau.fr/live/,UFR Sciences et Techniques Côte Basque Allées du Parc Montaury,64600,ANGLET,PIGOT,Thierry,,FED 4155;FED 4155;FED 4155;FED 4155,"Université Pau et Pays de l'Adour;Centre national de la recherche scientifique;Institut Francais de Recherche pour l'Exploitation de la Mer;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement",PAU;CNRS;IFREMER;INRAE,UNIV;EPST;EPIC;EPST,Université;Organismes de type EPST;Organismes de type EPIC;Organismes de type EPST,0640251A;0753639Y;0922262J;,19640251500270;18008901303720;33071536800032;18007003901803,TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,200317495H;201119411F,,,,,,1;4;10,Mathématiques et leurs interactions;Chimie;Sciences agronomiques et écologiques,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201119530K&PUBLIC=OK,
3304,201023981C,MATERIAUX MOLECULAIRES ET THERAPEUTIQUES,,2010,Equipe interne,1,1,http://umet.univ-lille1.fr/,Université de Lille - Cité Scientifique - Bâtiment C6,59650,Villeneuve d'Ascq,HEDOUX,Alain,,;;;,"Centrale Lille Institut;Centre national de la recherche scientifique;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;Université de Lille",CLI;CNRS;INRAE;LILLE,AUT_ETAB;EPST;EPST;UNIV,Autres établissements ESR;Organismes de type EPST;Organismes de type EPST;Université,0597139P;0753639Y;;0597065J,19590349700012;18008901303720;18007003901803;13002358300011,TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,,201019109G,,,,,2,Physique,PE3,"Condensed matter physics : structure, electronic properties, fluids, nanosciences, biological physics",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201023981C&PUBLIC=OK,
3316,200311842N,CENTRE DE RECHERCHES SUR LA COGNITION ANIMALE,CRCA,2003,Unité mixte,22,2,http://cognition.ups-tlse.fr/index.html,118 route de Narbonne,31062,TOULOUSE CEDEX 9,RAMPON;JEANSON,Claire;Raphaël,DIRECTRICE;DIRECTEUR ADJOINT,UMR 5169;UMR 5169,Université Toulouse 3 - Paul Sabatier;Centre national de la recherche scientifique,TOULOUSE 3;CNRS,UNIV;EPST,Université;Organismes de type EPST,0311384L;0753639Y,19311384200010;18008901303720,TUTE;TUTE,établissement tutelle;établissement tutelle,,201119602N;201119581R;201622188C,,,,,5,"Biologie, médecine et santé",LS3;LS5;LS8,"Cellular, Developmental and Regenerative Biology : Structure and function of the cell, cell-cell communication, embryogenesis, tissue differentiation, organogenesis, growth, development, evolution of development, organoids, stem cells, regeneration, therapeutic approaches;Neuroscience and Disorders of the Nervous System : Nervous system development, homeostasis and ageing, nervous system function and dysfunction, systems neuroscience and modelling, biological basis of cognitive processes and of behaviour, neurological and mental disorders;Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200311842N&PUBLIC=OK,grid.462873.c
3328,202123950W,Dynamique et contro^le des re´seaux,DANCE,2021,Unité propre,21,2,https://www.inria.fr/fr/dance,,38334,Saint Ismier,Frasca,Paolo,,;;,Centre national de la recherche scientifique;Institut national de la recherche en informatique et automatique;Université Grenoble Alpes,CNRS;INRIA;GRENOBLE ALPES,EPST;EPST;UNIV,Organismes de type EPST;Organismes de type EPST;Université,0753639Y;0780491K;0383493R,18008901303720;18008904700013;13002139700018,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,199218244V;200711885T,,,,,1;9,Mathématiques et leurs interactions;Sciences et technologies de l'information et de la communication,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202123950W&PUBLIC=OK,
3332,201822743X,Institut Pascal,IPa,2018,Unité mixte,22,2,,UNIVERSITE PARIS-SUD,91405,ORSAY CEDEX,ULLMO;BALKANSKI,Denis;Yves,DIR;DIR-ADJ,;UMS 2005;UAR 2005;;;;;,"IHES Bures-sur-Yvette;Ecole normale supérieure Paris-Saclay;Centre national de la recherche scientifique;Institut national de la recherche en informatique et automatique;Commissariat à l'énergie atomique et aux énergies alternatives;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;CentraleSupélec;Université Paris-Saclay",IHES BURES;ENS Paris-Saclay;CNRS;INRIA;CEA;INRAE;CENTRALESUPELEC;U PARIS-SACLAY,AUT_ETAB;AUT_ETAB;EPST;EPST;EPIC;EPST;AUT_ETAB;UNIV,Autres établissements ESR;Autres établissements ESR;Organismes de type EPST;Organismes de type EPST;Organismes de type EPIC;Organismes de type EPST;Autres établissements ESR;Université,0911012F;0912423P;0753639Y;0780491K;0912281K;;0912341A;0912408Y,77568825200029;19940607500010;18008901303720;18008904700013;77568501900587;18007003901803;13002076100016;13002602400013,TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,,,,,,,1;2,Mathématiques et leurs interactions;Physique,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201822743X&PUBLIC=OK,
